COUNTY_ CODE,VOTERS,NO. OF POLLING STATIONS
1,580223,934
2,281041,612
3,508068,988
4,118327,307
5,69776,167
6,155716,354
7,163350,381
8,162902,434
9,175642,401
10,141708,384
11,75338,195
12,702480,1473
13,213154,625
14,309468,710
15,474512,1454
16,620254,1332
17,423310,1060
18,335634,654
19,456949,917
20,349836,659
21,587126,1131
22,1180920,1963
23,191435,644
24,180232,712
25,82787,284
26,339622,639
27,450055,868
28,180664,529
29,346007,796
30,232258,892
31,246487,531
32,949618,1806
33,341730,750
34,411193,797
35,375668,780
36,322012,728
37,743736,1497
38,272409,548
39,559850,1186
40,351048,760
41,457953,916
42,539210,1027
43,476875,1062
44,388633,826
45,546580,1126
46,278853,553
47,2250853,3378
